crawling_time,category,order,URL
2025-08-12 14:39:04,artificial-intelligence,1,https://www.itworld.co.kr/article/4036305/%ed%83%84%ed%83%84%ed%95%9c-ai-%ec%a0%84%eb%9e%b5%eb%8f%84-%eb%8d%b0%ec%9d%b4%ed%84%b0-%ec%a4%91%eb%a6%bd%ec%84%b1-%ec%97%86%ec%9c%bc%eb%a9%b4-%eb%ac%b4%eb%84%88%ec%a7%80%eb%8a%94-%ec%9d%b4%ec%9c%a0.html
2025-08-12 14:39:04,artificial-intelligence,2,https://www.itworld.co.kr/article/4036277/%ed%81%b4%eb%a1%9c%eb%93%9c%ec%9d%98-%eb%ac%b4%ec%a0%9c%ed%95%9c-%ec%bd%94%eb%93%9c-%ed%8c%8c%ed%8b%b0%eb%8a%94-%eb%81%9d%eb%82%ac%eb%8b%a4%eb%8b%a4%ec%9d%8c-%eb%ac%b4.html
2025-08-12 14:39:04,artificial-intelligence,3,https://www.itworld.co.kr/article/4036175/%ec%98%a4%ed%94%88ai-gpt-5-%ea%b3%b5%ea%b0%9c%eb%8d%94-%eb%98%91%eb%98%91%ed%95%b4%ec%a7%80%ea%b3%a0-%ed%98%84%ec%8b%a4-%ea%b3%bc%ec%a0%9c%ec%97%90-%ea%b0%95%ed%95%b4%ec%a1%8c%eb%8b%a4.html
2025-08-12 14:39:04,artificial-intelligence,4,https://www.itworld.co.kr/article/4035425/%ea%b5%ac%ea%b8%80-%eb%8c%80%ed%95%99%ec%9b%90%ec%83%9d-%eb%8c%80%ec%83%81-%ea%b5%ac%ea%b8%80-ai-%ed%94%84%eb%a1%9c-1%eb%85%84-%eb%ac%b4%eb%a3%8c-%ec%a0%9c%ea%b3%b5%c2%b7%c2%b7.html
2025-08-12 14:39:04,artificial-intelligence,5,https://www.itworld.co.kr/article/4026096/%eb%a1%9c%ec%9a%b0%ec%bd%94%eb%93%9c%ec%99%80-%ec%83%9d%ec%84%b1%ed%98%95-ai%ea%b0%80-%eb%a7%8c%eb%93%9c%eb%8a%94-%ec%86%8c%ed%94%84%ed%8a%b8%ec%9b%a8%ec%96%b4-%ea%b0%9c%eb%b0%9c%ec%9d%98-%eb%b3%80.html
2025-08-12 14:39:04,artificial-intelligence,6,https://www.itworld.co.kr/article/4035407/ai-%ec%9d%b8%ed%94%84%eb%9d%bc-%eb%b3%b4%ec%95%88-%eb%ac%b4%ec%97%87%ec%9d%84-%ec%96%b4%eb%94%94%ea%b9%8c%ec%a7%80-%ec%a7%80%ec%bc%9c%ec%95%bc-%ed%95%98%eb%8a%94%ea%b0%80.html
2025-08-12 14:39:04,artificial-intelligence,7,https://www.itworld.co.kr/article/4035355/%ec%8b%9c%eb%a6%ac%eb%a5%bc-%eb%ac%bb%ec%9c%bc%eb%a9%b0-%eb%8f%8c%ec%95%84%eb%b3%b4%eb%8a%94-%ec%83%9d%ec%84%b1%ed%98%95-ai-%ec%88%98%ec%9a%a9%ec%9d%98-%ec%97%ad%ec%82%ac.html
2025-08-12 14:39:04,artificial-intelligence,8,https://www.itworld.co.kr/article/4035334/gpt%eb%8f%84-%ec%98%a4%ed%94%88%ec%86%8c%ec%8a%a4-%ec%8b%9c%eb%8c%80-%ec%98%a4%ed%94%88ai-%ea%b8%b0%ec%97%85-%ea%b2%a8%eb%83%a5%ed%95%9c-%ec%98%a4%ed%94%88-%ea%b0%80%ec%a4%91.html
2025-08-12 14:39:04,artificial-intelligence,9,https://www.itworld.co.kr/article/4035321/%eb%a7%88%ec%9d%b4%ed%81%ac%eb%a1%9c%ec%86%8c%ed%94%84%ed%8a%b8-ai-%ec%a0%84%eb%9e%b5%ec%9d%98-%ec%a7%84%ec%a7%9c-%ea%b3%bc%ec%a0%9c%eb%8a%94-%ed%94%84%eb%a1%9c%ed%86%a0%ed%83%80%ec%9e%85.html
2025-08-12 14:39:04,artificial-intelligence,10,https://www.itworld.co.kr/article/4034741/%ed%81%b4%eb%9d%bc%ec%9a%b0%eb%93%9c%ed%94%8c%eb%a0%88%ec%96%b4-%ed%8d%bc%ed%94%8c%eb%a0%89%ec%8b%9c%ed%8b%b0-%eb%85%bc%ec%9f%81%ec%9d%b4-%eb%a7%90%ed%95%98%eb%8a%94-%ec%b0%a8%ec%84%b8%eb%8c%80.html
2025-08-12 14:39:04,artificial-intelligence,11,https://www.itworld.co.kr/article/4034704/%ea%b0%80%ed%8a%b8%eb%84%88-2025-ai-%ed%95%98%ec%9d%b4%ed%94%84%ec%82%ac%ec%9d%b4%ed%81%b4-%ea%b3%b5%ea%b0%9c%c2%b7%c2%b7%c2%b7-ai-%ec%97%90%ec%9d%b4%ec%a0%84%ed%8a%b8%c2%b7ai-%ec%a4%80.html
2025-08-12 14:39:04,artificial-intelligence,12,https://www.itworld.co.kr/article/4034691/%eb%84%88%eb%ac%b4-%eb%a7%8e%ec%9d%80-%ed%91%9c%ec%a4%80%ec%9d%80-%ed%91%9c%ec%a4%80%ec%9d%b4-%ec%97%86%eb%8a%94-%ea%b2%83-ai-%ec%97%90%ec%9d%b4%ec%a0%84%ed%8a%b8-%ed%94%84%eb%a1%9c.html
2025-08-12 14:39:04,artificial-intelligence,13,https://www.itworld.co.kr/article/4034661/%ec%99%84%ec%84%b1%ed%98%95-ai%eb%a1%9c-%ea%b0%80%eb%8a%94-%ea%b4%80%eb%ac%b8-%eb%b2%a4%ec%b9%98%eb%a7%88%ed%81%ac%ec%9d%98-%ec%97%ad%ed%95%a0%ec%9d%b4-%eb%b0%94%eb%80%8c%ea%b3%a0-%ec%9e%88%eb%8b%a4.html
